 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000      0.999790728    
   2.62500000      0.997488737    
   2.87500000      0.989955008    
   3.12500000      0.988176227    
   3.37500000      0.982002735    
   3.62500000      0.969969630    
   3.87500000      0.960447848    
   4.12500000      0.951972365    
   4.37500000      0.940881014    
   4.62500000      0.930103600    
   4.87500000      0.921000302    
   5.12500000      0.908339441    
   5.37500000      0.848801911    
   5.62500000      0.843884051    
   5.87500000      0.838652313    
   6.12500000      0.832583427    
   6.37500000      0.824421883    
   6.62500000      0.815109372    
   6.87500000      0.807889521    
   7.12500000      0.798576951    
   7.37500000      0.792717397    
   7.62500000      0.784765065    
   7.87500000      0.778800905    
   8.12500000      0.773673773    
   8.37500000      0.764256537    
   8.62500000      0.757769167    
   8.87500000      0.745108306    
   9.12500000      0.735795736    
   9.37500000      0.726901770    
   9.62500000      0.714764059    
   9.87500000      0.701370716    
   10.1250000      0.685256898    
   10.3750000      0.672386706    
   10.6250000      0.656482160    
   10.8750000      0.472847134    
   11.1250000      0.406508327    
   11.3750000      0.401276559    
   11.6250000      0.396254063    
   11.8750000      0.391022295    
   12.1250000      0.386836886    
   12.3750000      0.378884584    
   12.6250000      0.281573713    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
