 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.998429000    
   2.87500000      0.990573943    
   3.12500000      0.988688707    
   3.37500000      0.983242571    
   3.62500000      0.971198142    
   3.87500000      0.961667359    
   4.12500000      0.953288674    
   4.37500000      0.943548381    
   4.62500000      0.933493912    
   4.87500000      0.924172580    
   5.12500000      0.912232935    
   5.37500000      0.852325082    
   5.62500000      0.847297847    
   5.87500000      0.841223300    
   6.12500000      0.836196065    
   6.37500000      0.828550458    
   6.62500000      0.821009636    
   6.87500000      0.814830303    
   7.12500000      0.806556344    
   7.37500000      0.800900698    
   7.62500000      0.794407189    
   7.87500000      0.787285268    
   8.12500000      0.781420171    
   8.37500000      0.772203624    
   8.62500000      0.763929605    
   8.87500000      0.752408862    
   9.12500000      0.742040217    
   9.37500000      0.732195199    
   9.62500000      0.720674515    
   9.87500000      0.706011713    
   10.1250000      0.691348970    
   10.3750000      0.678990364    
   10.6250000      0.662966073    
   10.8750000      0.481462091    
   11.1250000      0.416527033    
   11.3750000      0.410452455    
   11.6250000      0.405111015    
   11.8750000      0.399350643    
   12.1250000      0.392857134    
   12.3750000      0.387096763    
   12.6250000      0.286133230    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
