 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.995775819    
   2.87500000      0.995775819    
   3.12500000      0.993818283    
   3.37500000      0.991551638    
   3.62500000      0.986400187    
   3.87500000      0.982279003    
   4.12500000      0.975170016    
   4.37500000      0.966927648    
   4.62500000      0.961467147    
   4.87500000      0.956109643    
   5.12500000      0.950752139    
   5.37500000      0.946321845    
   5.62500000      0.941685557    
   5.87500000      0.936946213    
   6.12500000      0.931588709    
   6.37500000      0.926952422    
   6.62500000      0.920255542    
   6.87500000      0.916443408    
   7.12500000      0.913043499    
   7.37500000      0.909540474    
   7.62500000      0.905110240    
   7.87500000      0.899649680    
   8.12500000      0.894189179    
   8.37500000      0.888110459    
   8.62500000      0.882752955    
   8.87500000      0.874407589    
   9.12500000      0.868328869    
   9.37500000      0.860189557    
   9.62500000      0.854316890    
   9.87500000      0.849268496    
   10.1250000      0.844632208    
   10.3750000      0.836492896    
   10.6250000      0.832474768    
   10.8750000      0.829280853    
   11.1250000      0.824644566    
   11.3750000      0.820214272    
   11.6250000      0.572841525    
   11.8750000      0.568514347    
   12.1250000      0.563568950    
   12.3750000      0.558211386    
   12.6250000      0.554502368    
   12.8750000      0.549969077    
   13.1250000      0.546157002    
   13.3750000      0.544302464    
   13.6250000      0.540593445    
   13.8750000      0.536884427    
   14.1250000      0.533175349    
   14.3750000      0.529054165    
   14.6250000      0.520605803    
   14.8750000      0.131671131    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
