 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000      0.999423504    
   2.87500000      0.995042086    
   3.12500000      0.987778187    
   3.37500000      0.972673833    
   3.62500000      0.957569480    
   3.87500000      0.943618119    
   4.12500000      0.929666758    
   4.37500000      0.915369511    
   4.62500000      0.897382677    
   4.87500000      0.882970154    
   5.12500000      0.870748281    
   5.37500000      0.856105149    
   5.62500000      0.842499733    
   5.87500000      0.827856541    
   6.12500000      0.810561538    
   6.37500000      0.789807439    
   6.62500000      0.767900407    
   6.87500000      0.750144124    
   7.12500000      0.732387841    
   7.37500000      0.309927374    
   7.62500000       0.00000000    
   7.87500000       0.00000000    
   8.12500000       0.00000000    
   8.37500000       0.00000000    
   8.62500000       0.00000000    
   8.87500000       0.00000000    
   9.12500000       0.00000000    
   9.37500000       0.00000000    
   9.62500000       0.00000000    
   9.87500000       0.00000000    
   10.1250000       0.00000000    
   10.3750000       0.00000000    
   10.6250000       0.00000000    
   10.8750000       0.00000000    
   11.1250000       0.00000000    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
