 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.125000000       1.00000000    
  0.125000000       1.00000000    
  0.375000000       1.00000000    
  0.625000000       1.00000000    
  0.875000000       1.00000000    
   1.12500000       1.00000000    
   1.37500000       1.00000000    
   1.62500000       1.00000000    
   1.87500000       1.00000000    
   2.12500000       1.00000000    
   2.37500000       1.00000000    
   2.62500000       1.00000000    
   2.87500000       1.00000000    
   3.12500000      0.999375522    
   3.37500000      0.993006110    
   3.62500000      0.984013975    
   3.87500000      0.975771189    
   4.12500000      0.961158991    
   4.37500000      0.947795689    
   4.62500000      0.933183491    
   4.87500000      0.921318829    
   5.12500000      0.903459489    
   5.37500000      0.880729377    
   5.62500000      0.862370431    
   5.87500000      0.849756479    
   6.12500000      0.837267399    
   6.37500000      0.828649938    
   6.62500000      0.816660404    
   6.87500000      0.806169629    
   7.12500000      0.799425483    
   7.37500000      0.791807175    
   7.62500000      0.786311984    
   7.87500000      0.778069198    
   8.12500000      0.772449136    
   8.37500000      0.767328560    
   8.62500000      0.761958301    
   8.87500000      0.755463958    
   9.12500000      0.749594092    
   9.37500000      0.745222926    
   9.62500000      0.740477085    
   9.87500000      0.730236053    
   10.1250000      0.716373146    
   10.3750000      0.699762702    
   10.6250000      0.686024725    
   10.8750000      0.671287596    
   11.1250000      0.361433744    
   11.3750000       0.00000000    
   11.6250000       0.00000000    
   11.8750000       0.00000000    
   12.1250000       0.00000000    
   12.3750000       0.00000000    
   12.6250000       0.00000000    
   12.8750000       0.00000000    
   13.1250000       0.00000000    
   13.3750000       0.00000000    
   13.6250000       0.00000000    
   13.8750000       0.00000000    
   14.1250000       0.00000000    
   14.3750000       0.00000000    
   14.6250000       0.00000000    
   14.8750000       0.00000000    
   15.1250000       0.00000000    
   15.3750000       0.00000000    
   15.6250000       0.00000000    
   15.8750000       0.00000000    
   16.1250000       0.00000000    
   16.3750000       0.00000000    
   16.6250000       0.00000000    
   16.8750000       0.00000000    
   17.1250000       0.00000000    
   17.3750000       0.00000000    
   17.6250000       0.00000000    
   17.8750000       0.00000000    
   18.1250000       0.00000000    
   18.3750000       0.00000000    
   18.6250000       0.00000000    
   18.8750000       0.00000000    
   19.1250000       0.00000000    
   19.3750000       0.00000000    
   19.6250000       0.00000000    
