 # Cumulative accessible volume distribution as a function of probe diameter
 # 
 # d(probe)                Volume Fraction
 -0.500000000       1.00000000    
  0.500000000       1.00000000    
   1.50000000       1.00000000    
   2.50000000      0.994020939    
   3.50000000      0.624813139    
   4.50000000      0.402092665    
   5.50000000      0.206278026    
   6.50000000      0.113602392    
   7.50000000       9.56651717E-02
   8.50000000       7.32436478E-02
   9.50000000       3.88639756E-02
   10.5000000       0.00000000    
   11.5000000       0.00000000    
   12.5000000       0.00000000    
   13.5000000       0.00000000    
   14.5000000       0.00000000    
   15.5000000       0.00000000    
   16.5000000       0.00000000    
   17.5000000       0.00000000    
   18.5000000       0.00000000    
